date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:57:45	98146/98146	---M--	200	added ('OK')	image/png	etag:%22dc8754b34049aa621e64c2342cfdf55f%22	https://global-uploads.webflow.com/5f61e23f8677b34d6f77653b/5f98308cdc49474896290a18_Leave%20testimonial%20Img.png	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/global-uploads.webflow.com/5f61e23f8677b34d6f77653b/5f98308cdc49474896290a18_Leave%20testimonial%20Img.png	(from https://www.swingvy.com/sg/products/mobile)
12:57:45	15476/15476	---M--	200	added ('OK')	image/png	etag:%22d4f1d6709e416d077c8da2ac213b0774%22	https://global-uploads.webflow.com/5f61e23f8677b34d6f77653b/5f994ba58ea74850317675de_TMG_Logo.png	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/global-uploads.webflow.com/5f61e23f8677b34d6f77653b/5f994ba58ea74850317675de_TMG_Logo.png	(from https://www.swingvy.com/sg/products/mobile)
12:57:46	187698/187698	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Mar%202021%2012:57:46%20GMT	https://www.swingvy.com/sg/pricing	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/sg/pricing.html	(from https://www.swingvy.com/)
12:58:27	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:57:47%20GMT	https://www.swingvy.com/sg/partners	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/sg/partners.html	(from https://www.swingvy.com/)
12:58:27	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:57:47%20GMT	https://www.swingvy.com/blog-sg/singapore-budget-2021-for-businesses	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/singapore-budget-2021-for-businesses.html	(from https://www.swingvy.com/sg/resources/library)
12:58:27	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:57:47%20GMT	https://www.swingvy.com/blog-sg/key-sme-grants-available-singapore	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/key-sme-grants-available-singapore.html	(from https://www.swingvy.com/sg/resources/library)
12:58:29	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:57:47%20GMT	https://www.swingvy.com/blog-sg/the-biggest-business-shift-of-2020-flexibility	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/the-biggest-business-shift-of-2020-flexibility.html	(from https://www.swingvy.com/sg/resources/library)
12:58:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:58:30%20GMT	https://www.swingvy.com/blog-sg/the-state-of-employee-benefits	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/the-state-of-employee-benefits.html	(from https://www.swingvy.com/sg/resources/library)
12:58:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:58:30%20GMT	https://www.swingvy.com/blog-sg/swingvys-hr-mobile-app-helps-smes-tackle-the-engagement-gap-in-remote-workforces	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/swingvys-hr-mobile-app-helps-smes-tackle-the-engagement-gap-in-remote-workforces.html	(from https://www.swingvy.com/sg/resources/library)
12:58:30	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2019%20Mar%202021%2012:58:30%20GMT	https://www.swingvy.com/blog-sg/GET	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-sg/GET.13c.delayed	(from https://www.swingvy.com/blog-sg/whats-it-like-to-work-with-us-in-singapore)
12:58:30	67916/67916	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Mar%202021%2012:58:31%20GMT	https://www.swingvy.com/blog-categories-sg/inside-swingvy	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/www.swingvy.com/blog-categories-sg/inside-swingvy.html	(from https://www.swingvy.com/blog-sg/whats-it-like-to-work-with-us-in-singapore)
12:58:31	183804/183804	---M--	200	added ('OK')	image/png	etag:%22d3d5b435ac693f170058e15e92735472%22	https://global-uploads.webflow.com/5f783aea952b4abda8b9ff7e/6052c4366883eb4c86b903c1_Swingvy%20Blog%20Signature_We%27re%20Hiring.png	C:/Users/Shivam%20Malhotra/Desktop/Sample_Code/site/global-uploads.webflow.com/5f783aea952b4abda8b9ff7e/6052c4366883eb4c86b903c1_Swingvy%20Blog%20Signature_We're%20Hiring.png	(from https://www.swingvy.com/blog-sg/whats-it-like-to-work-with-us-in-singapore)
